Unnamed: 0,Template,Linea,Cuenta,Referencia,Producto,Variante,Clase,Bodega,Cantidad
0,7997,Master Aire Elemento Axial,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE04207004,DA4207 FILTRO AIRE SEGURIDAD KOMATSU,004 AF574SY,C,Ubicaciones físicas / BD1 / Existencias,1.0
1,7998,Master Aceite Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLE00314004,G314 FILTRO ACEITE ESPECIAL,004 F62H,C,Ubicaciones físicas / BD1 / Existencias,2.0
2,7999,Master Aceite Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLE00401004,G401 FILTRO ACEITE FIAT-ALLIS 75215486,004 F75215486,C,Ubicaciones físicas / BD1 / Existencias,7.0
3,8003,Master Aire Redondo,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE05128004,GA128 FILTRO AIRE FIAT DATSUN,004 GA128,C,Ubicaciones físicas / BD1 / Existencias,1.0
4,8003,Master Aire Redondo,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE05128004,GA128 FILTRO AIRE FIAT DATSUN,004 GA128,C,Physical Locations / BD5 / Existencias,2.0
5,8005,Master Aire Redondo,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE05158004,GA158 FILTRO AIRE RENULT 4 Y 6.,004 GA158,C,Ubicaciones físicas / BD1 / Existencias,1.0
6,8007,Master Aire Redondo,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE05182004,GA182 FILTRO AIRE SIMCA 1000 Y 1300,004 GA182,C,Ubicaciones físicas / BD1 / Existencias,1.0
7,8012,Master Aire Redondo,1435050712-COMPRAS FILTROS COMERCIALIZADO,DAE05321004,GA321 FILTRO AIRE MONZA,004 GA321,C,Ubicaciones físicas / BD1 / Existencias,2.0
8,8024,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00050004,"GS050 FILTRO ACEITE SWIFT,SPRINT.",004 GS050,C,Physical Locations / BD5 / Existencias,1.0
9,8024,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00050004,"GS050 FILTRO ACEITE SWIFT,SPRINT.",004 GS050,C,Ubicaciones físicas / BD7 / Existencias,1.0
10,8024,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00050004,"GS050 FILTRO ACEITE SWIFT,SPRINT.",004 GS050,C,Ubicaciones físicas / BD1 / Existencias,1.0
11,8024,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00050004,"GS050 FILTRO ACEITE SWIFT,SPRINT.",004 GS050,C,Ubicaciones físicas / BD4 / Existencias,1.0
12,8028,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00070004,"GS070 FILTRO ACEITE CHEVROLET, DAEWOO",004 GS070,C,Ubicaciones físicas / BD1 / Existencias,4.0
13,8028,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00070004,"GS070 FILTRO ACEITE CHEVROLET, DAEWOO",004 GS070,C,Ubicaciones físicas / BD4 / Existencias,1.0
14,8028,Master Aceite Sellado,1435050712-COMPRAS FILTROS COMERCIALIZADO,DLS00070004,"GS070 FILTRO ACEITE CHEVROLET, DAEWOO",004 GS070,C,Physical Locations / BD3 / Existencias,2.0
