,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
15798,PRINCIPAL COTA,DAB14570025,2025.0,39,9.294546,10135.85,94208.12,0.0104,0.1811,22609.9,0.24,0.03,4.8,0.24,1.0,0.27,AAA,0.999
13187,PRINCIPAL COTA,DAB02570025,2025.0,39,7.668776,13645.86,104647.04,0.0115,0.1596,23022.3,0.22,0.06,4.724409448818897,0.46,1.0,0.28,AAA,0.999
26284,PRINCIPAL COTA,DCS10536137,2025.0,39,7.305416,51663.09,377420.36,0.0415,0.0873,245323.2,0.65,0.09,6.315789473684211,1.11,1.0,0.27,AAA,0.999
13645,PRINCIPAL COTA,DAB02968025,2025.0,39,6.22915,20751.22,129262.46,0.0142,0.1235,46534.5,0.36,0.11,4.394366197183098,1.47,1.0,0.29,AAA,0.999
4621,PRINCIPAL COTA,BCE00606125,2025.0,39,5.701005,20640.17,117669.71,0.013,0.1365,87075.6,0.74,0.13,11.707317073170731,2.21,1.0,0.31,AAA,0.999
5457,PRINCIPAL COTA,BCS00035125,2025.0,39,3.780477,20638.72,78024.21,0.0086,0.227,12483.9,0.16,0.15,2.4827586206896552,2.37,0.8,0.3,AAA,0.999
15830,PRINCIPAL COTA,DAB14772025,2025.0,39,3.16797,9112.4,28867.81,0.0032,0.5463,7505.6,0.26,0.16,4.08,2.63,1.0,0.44,AAA,0.999
13387,PRINCIPAL COTA,DAB02788025,2025.0,39,3.110158,20851.61,64851.8,0.0071,0.2965,21401.1,0.33,0.17,6.0,2.96,1.0,0.38,AAA,0.999
28105,PRINCIPAL COTA,DLS00296189,2025.0,39,2.782346,12645.75,35184.85,0.0039,0.4892,16888.7,0.48,0.18,7.914893617021277,3.44,1.0,0.44,AAA,0.999
13267,PRINCIPAL COTA,DAB02671025,2025.0,39,2.627173,8112.2,21312.15,0.0023,0.6383,9803.6,0.46,0.19,4.390243902439025,3.9,1.0,0.49,AAA,0.999
13621,PRINCIPAL COTA,DAB02957025,2025.0,39,2.515422,34717.97,87330.35,0.0096,0.1907,24452.5,0.28,0.2,4.54054054054054,4.18,1.0,0.36,AAA,0.999
21068,PRINCIPAL COTA,DAP02020025,2025.0,39,2.45444,24681.21,60578.55,0.0067,0.324,16356.2,0.27,0.21,2.7272727272727275,4.45,0.8,0.36,AAA,0.999
25195,PRINCIPAL COTA,DCS00060189,2025.0,39,2.387227,5276.25,12595.61,0.0014,0.7951,8816.9,0.7,0.21,8.823529411764705,5.15,1.0,0.54,A,0.98
5393,PRINCIPAL COTA,BCS00025125,2025.0,39,2.338138,31057.73,72617.26,0.008,0.2515,16702.0,0.23,0.22,4.888888888888889,5.38,1.0,0.38,AAA,0.999
