,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
1375,MOSTRADOR COTA,ALB15W40030,2025.0,36,0.636758,1.0,444286.66
1481,MOSTRADOR COTA,ALB15W40131,2025.0,36,0.257902,1.0,339158.35
29783,MOSTRADOR COTA,BAP02988125,2025.0,36,0.40451,2.0,158844.4
34129,MOSTRADOR COTA,BCE00046125,2025.0,36,4.00219,9.0,14565.6
36249,MOSTRADOR COTA,BCE00606125,2025.0,36,20.905902,3.0,20640.17
36302,MOSTRADOR COTA,BCE00609125,2025.0,36,0.679517,2.0,39956.05
36461,MOSTRADOR COTA,BCE00633125,2025.0,36,1.634725,1.0,39833.61
37203,MOSTRADOR COTA,BCE00738125,2025.0,36,1.407883,1.0,39516.91
41390,MOSTRADOR COTA,BCS00007125,2025.0,36,0.815189,3.0,16846.67
41496,MOSTRADOR COTA,BCS00014125,2025.0,36,3.027562,12.0,25581.4
41761,MOSTRADOR COTA,BCS00025125,2025.0,36,2.967,2.0,31058.67
42185,MOSTRADOR COTA,BCS00035125,2025.0,36,8.249358,14.0,20638.72
42291,MOSTRADOR COTA,BCS00060125,2025.0,36,2.524827,4.0,30502.12
42980,MOSTRADOR COTA,BCS00091125,2025.0,36,1.275995,1.0,20372.33
43033,MOSTRADOR COTA,BCS00104125,2025.0,36,0.57563,2.0,31841.29
43404,MOSTRADOR COTA,BCS00161125,2025.0,36,2.163145,2.0,30628.77
43510,MOSTRADOR COTA,BCS00163125,2025.0,36,1.170636,1.0,35375.31
43722,MOSTRADOR COTA,BCS00180125,2025.0,36,5.649237,12.0,40354.56
43775,MOSTRADOR COTA,BCS00191125,2025.0,36,1.355784,2.0,65440.64
44199,MOSTRADOR COTA,BCS00229125,2025.0,36,0.304117,1.0,42983.02
44464,MOSTRADOR COTA,BCS00242125,2025.0,36,3.741256,7.0,40493.61
44517,MOSTRADOR COTA,BCS00243125,2025.0,36,0.338003,1.0,36750.29
