,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
0,0,4135061001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,523560,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,525015,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,PRINCIPAL COTA,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
4,SUCURSAL BARRANQUILLA,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
5,SUCURSAL BUCARAMANGA,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
6,SUCURSAL CALI,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
7,SUCURSAL CALLE 6,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
8,SUCURSAL MEDELLIN,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
9,SUCURSAL NORTE,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
10,SUCURSAL VALLADOLID,AC000001222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
11,PRINCIPAL COTA,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
12,SUCURSAL BARRANQUILLA,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
13,SUCURSAL BUCARAMANGA,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
14,SUCURSAL CALI,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
15,SUCURSAL CALLE 6,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
16,SUCURSAL MEDELLIN,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
17,SUCURSAL NORTE,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
18,SUCURSAL VALLADOLID,AC000002222,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1886.4
19,PRINCIPAL COTA,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
20,SUCURSAL BARRANQUILLA,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
21,SUCURSAL BUCARAMANGA,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
22,SUCURSAL CALI,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
23,SUCURSAL CALLE 6,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
24,SUCURSAL MEDELLIN,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
25,SUCURSAL NORTE,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
26,SUCURSAL VALLADOLID,AC000005020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,1250.0
27,PRINCIPAL COTA,AC00389020,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,20800.0
