,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
0,0,4135061001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,523560,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,525015,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,AC000001222,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1886.4
4,0,AC000002222,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1886.4
5,0,AC000005020,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0
6,0,AC00389020,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0
7,PRINCIPAL COTA,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
8,SUCURSAL BARRANQUILLA,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
9,SUCURSAL BUCARAMANGA,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
10,SUCURSAL CALI,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
11,SUCURSAL CALLE 6,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
12,SUCURSAL MEDELLIN,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
13,SUCURSAL NORTE,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
14,SUCURSAL VALLADOLID,AC10388020,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,20046.0
15,0,AGB0CHAS021,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,63.68
16,PRINCIPAL COTA,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
17,SUCURSAL BARRANQUILLA,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
18,SUCURSAL BUCARAMANGA,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
19,SUCURSAL CALI,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
20,SUCURSAL CALLE 6,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
21,SUCURSAL MEDELLIN,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
22,SUCURSAL NORTE,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
23,SUCURSAL VALLADOLID,AGB0GRAS030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,267417.44
24,PRINCIPAL COTA,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
25,SUCURSAL BARRANQUILLA,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
26,SUCURSAL BUCARAMANGA,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
27,SUCURSAL CALI,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
28,SUCURSAL CALLE 6,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
29,SUCURSAL MEDELLIN,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
30,SUCURSAL NORTE,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,26.84
31,SUCURSAL VALLADOLID,AGBGRASA030,2025.0,2025-09-23 00:00:00,39,0.0,6.718197,0.0,1.26,23.0,0.0,26.84
32,0,AHB0AW68116,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,317624.69
33,0,AHB0HO46132,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,207292.05
34,0,AHB0TO10132,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,222947.69
35,0,AHB0TO30132,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,222947.69
36,PRINCIPAL COTA,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
37,SUCURSAL BARRANQUILLA,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
38,SUCURSAL BUCARAMANGA,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
39,SUCURSAL CALI,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
40,SUCURSAL CALLE 6,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
41,SUCURSAL MEDELLIN,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
42,SUCURSAL NORTE,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
43,SUCURSAL VALLADOLID,AHB80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,313811.44
44,PRINCIPAL COTA,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
45,SUCURSAL BARRANQUILLA,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
46,SUCURSAL BUCARAMANGA,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
47,SUCURSAL CALI,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
48,SUCURSAL CALLE 6,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
49,SUCURSAL MEDELLIN,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
50,SUCURSAL NORTE,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
51,SUCURSAL VALLADOLID,AHB80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,460139.21
52,0,AHB80W90052,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300026.46
53,0,AHB85W14030,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,261006.0
54,PRINCIPAL COTA,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
55,SUCURSAL BARRANQUILLA,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
56,SUCURSAL BUCARAMANGA,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
57,SUCURSAL CALI,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
58,SUCURSAL CALLE 6,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.016275,0.0,1.34,23.0,0.0,469317.32
59,SUCURSAL MEDELLIN,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
60,SUCURSAL NORTE,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
61,SUCURSAL VALLADOLID,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
62,PRINCIPAL COTA,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
63,SUCURSAL BARRANQUILLA,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
