,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
1480,MOSTRADOR COTA,ALB15W40030,2025.0,36,0.636754,1.0,444286.66
1594,MOSTRADOR COTA,ALB15W40131,2025.0,36,0.257903,1.0,339158.35
32032,MOSTRADOR COTA,BAP02988125,2025.0,36,0.404508,2.0,158844.4
36763,MOSTRADOR COTA,BCE00046125,2025.0,36,4.002213,9.0,14565.6
39043,MOSTRADOR COTA,BCE00606125,2025.0,36,20.906107,3.0,20640.17
39100,MOSTRADOR COTA,BCE00609125,2025.0,36,0.679507,2.0,39956.05
39271,MOSTRADOR COTA,BCE00633125,2025.0,36,1.634724,1.0,39833.61
40069,MOSTRADOR COTA,BCE00738125,2025.0,36,1.40788,1.0,39516.91
44572,MOSTRADOR COTA,BCS00007125,2025.0,36,0.815189,3.0,16846.67
44686,MOSTRADOR COTA,BCS00014125,2025.0,36,3.02756,12.0,25581.4
44971,MOSTRADOR COTA,BCS00025125,2025.0,36,2.96701,2.0,31058.67
45427,MOSTRADOR COTA,BCS00035125,2025.0,36,8.249353,14.0,20638.72
45541,MOSTRADOR COTA,BCS00060125,2025.0,36,2.524834,4.0,30502.12
46282,MOSTRADOR COTA,BCS00091125,2025.0,36,1.275987,1.0,20372.33
46339,MOSTRADOR COTA,BCS00104125,2025.0,36,0.575627,2.0,31841.29
46795,MOSTRADOR COTA,BCS00161125,2025.0,36,2.163145,2.0,30628.77
46909,MOSTRADOR COTA,BCS00163125,2025.0,36,1.170654,1.0,35375.31
47137,MOSTRADOR COTA,BCS00180125,2025.0,36,5.649231,12.0,40354.56
47194,MOSTRADOR COTA,BCS00191125,2025.0,36,1.355787,2.0,65440.64
47650,MOSTRADOR COTA,BCS00229125,2025.0,36,0.304141,1.0,42983.02
47935,MOSTRADOR COTA,BCS00242125,2025.0,36,3.74129,7.0,40493.61
47992,MOSTRADOR COTA,BCS00243125,2025.0,36,0.338003,1.0,36750.29
48049,MOSTRADOR COTA,BCS00249125,2025.0,36,3.694594,2.0,27520.25
48106,MOSTRADOR COTA,BCS00252125,2025.0,36,2.705362,5.0,30986.05
