,store_name,product_ref,año,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
0,0,4135061001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,523560,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,525015,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,AC000001222,0.0,0,0.0,0.0,0.0,0.0,0.0,1886.4
4,0,AC000002222,0.0,0,0.0,0.0,0.0,0.0,0.0,1886.4
5,0,AC000005020,0.0,0,0.0,0.0,0.0,0.0,0.0,1250.0
6,0,AC00389020,0.0,0,0.0,0.0,0.0,0.0,0.0,20800.0
7,0,AC10388020,0.0,0,0.0,0.0,0.0,0.0,0.0,20046.0
8,0,AGB0CHAS021,0.0,0,0.0,0.0,0.0,0.0,0.0,63.68
9,0,AGB0GRAS030,0.0,0,0.0,0.0,0.0,0.0,0.0,267417.44
10,0,AGBGRASA030,0.0,0,0.0,0.0,0.0,0.0,0.0,26.84
11,0,AHB0AW68116,0.0,0,0.0,0.0,0.0,0.0,0.0,317624.69
12,0,AHB0HO46132,0.0,0,0.0,0.0,0.0,0.0,0.0,207292.05
13,0,AHB0TO10132,0.0,0,0.0,0.0,0.0,0.0,0.0,222947.69
14,0,AHB0TO30132,0.0,0,0.0,0.0,0.0,0.0,0.0,222947.69
15,0,AHB80W90030,0.0,0,0.0,0.0,0.0,0.0,0.0,313811.44
16,0,AHB80W90050,0.0,0,0.0,0.0,0.0,0.0,0.0,460139.21
17,0,AHB80W90052,0.0,0,0.0,0.0,0.0,0.0,0.0,300026.46
18,0,AHB85W14030,0.0,0,0.0,0.0,0.0,0.0,0.0,261006.0
19,0,AHB85W14050,0.0,0,0.0,0.0,0.0,0.0,0.0,469317.32
20,0,AHB85W14052,0.0,0,0.0,0.0,0.0,0.0,0.0,314317.66
21,0,AHBNTO68030,0.0,0,0.0,0.0,0.0,0.0,0.0,342304.08
22,0,AHG80W90030,0.0,0,0.0,0.0,0.0,0.0,0.0,82650.48
23,0,AHG80W90050,0.0,0,0.0,0.0,0.0,0.0,0.0,85951.89
24,0,AHG85W14030,0.0,0,0.0,0.0,0.0,0.0,0.0,92209.36
25,0,AHG85W14050,0.0,0,0.0,0.0,0.0,0.0,0.0,92806.88
26,0,AHQ80W90030,0.0,0,0.0,0.0,0.0,0.0,0.0,22593.26
27,0,AHQ80W90050,0.0,0,0.0,0.0,0.0,0.0,0.0,21741.5
28,0,AHQ85W14030,0.0,0,0.0,0.0,0.0,0.0,0.0,17680.84
29,0,AHQ85W14050,0.0,0,0.0,0.0,0.0,0.0,0.0,22075.24
30,0,AHQMATIC050,0.0,0,0.0,0.0,0.0,0.0,0.0,11277.57
31,SUCURSAL VALLADOLID,AHR85W14030,2025.0,37,1.0,0.2,1.0,0.0,0.0,11872.73
32,0,AHTNT068030,0.0,0,0.0,0.0,0.0,0.0,0.0,3542826.0
33,0,ALB01350030,0.0,0,0.0,0.0,0.0,0.0,0.0,240896.0
34,0,ALB115W4050,0.0,0,0.0,0.0,0.0,0.0,0.0,198000.0
35,PRINCIPAL COTA,ALB15W40030,2025.0,37,1.0,1.021742,2.0,0.29,4.0,444286.66
36,0,ALB15W40032,0.0,0,0.0,0.0,0.0,0.0,0.0,126048.86
37,SUCURSAL NORTE,ALB15W40050,2025.0,37,1.0,0.212914,1.0,55448.4,0.0,383404.25
38,0,ALB15W40052,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,PRINCIPAL COTA,ALB15W40131,2025.0,37,1.0,0.405616,1.0,0.5,6.0,339158.35
40,SUCURSAL BARRANQUILLA,ALB15W40131,2025.0,37,11.0,14.066454,23.0,0.17,2.4335664335664338,339158.35
41,SUCURSAL BUCARAMANGA,ALB15W40131,2025.0,37,1.0,0.664166,2.0,0.53,6.0,339158.35
42,SUCURSAL CALLE 6,ALB15W40131,2025.0,37,1.0,4.401218,11.0,0.18,2.3333333333333335,339158.35
43,SUCURSAL NORTE,ALB15W40131,2025.0,37,4.0,3.456977,6.0,0.14,2.0,339158.35
44,SUCURSAL VALLADOLID,ALB15W40131,2025.0,37,1.0,2.081314,4.0,0.22,1.8947368421052633,339158.35
45,0,ALB15W40132,0.0,0,0.0,0.0,0.0,0.0,0.0,284451.67
46,0,ALG01350030,0.0,0,0.0,0.0,0.0,0.0,0.0,41412.37
47,0,ALG0MX50021,0.0,0,0.0,0.0,0.0,0.0,0.0,29123.64
48,0,ALG10W30030,0.0,0,0.0,0.0,0.0,0.0,0.0,118284.15
49,0,ALG10W30050,0.0,0,0.0,0.0,0.0,0.0,0.0,80753.4
50,0,ALG10W30051,0.0,0,0.0,0.0,0.0,0.0,0.0,74063.71
51,0,ALG10W30116,0.0,0,0.0,0.0,0.0,0.0,0.0,82895.69
52,0,ALG10W40030,0.0,0,0.0,0.0,0.0,0.0,0.0,59447.62
53,PRINCIPAL COTA,ALG15W40030,2025.0,37,1.0,0.843191,1.0,0.46,6.0,102104.09
54,SUCURSAL CALLE 6,ALG15W40030,2025.0,37,1.0,2.206762,2.0,0.25,3.1578947368421053,102104.09
55,SUCURSAL NORTE,ALG15W40030,2025.0,37,1.0,1.724996,1.0,0.31,4.363636363636364,102104.09
56,0,ALG15W40032,0.0,0,0.0,0.0,0.0,0.0,0.0,25556.46
57,0,ALG15W40050,0.0,0,0.0,0.0,0.0,0.0,0.0,75957.76
58,SUCURSAL NORTE,ALG15W40131,2025.0,37,3.0,15.496668,25.0,0.19,2.5142857142857142,15388.99
59,SUCURSAL VALLADOLID,ALG15W40131,2025.0,37,1.0,26.338754,8.0,0.17,2.176991150442478,15388.99
60,0,ALG15W40132,0.0,0,0.0,0.0,0.0,0.0,0.0,60488.44
61,SUCURSAL CALLE 6,ALG20W50030,2025.0,37,2.0,0.407365,2.0,31624.94,0.0,102616.03
62,SUCURSAL VALLADOLID,ALG20W50051,2025.0,37,1.0,0.83743,1.0,0.31,3.4285714285714284,70347.59
63,0,ALG20W50116,0.0,0,0.0,0.0,0.0,0.0,0.0,104296.1
64,0,ALQ00W40030,0.0,0,0.0,0.0,0.0,0.0,0.0,25226.03
65,0,ALQ01350030,0.0,0,0.0,0.0,0.0,0.0,0.0,10035.69
66,SUCURSAL NORTE,ALQ05W30030,2025.0,37,1.0,0.824331,4.0,0.95,12.0,46597.76
67,0,ALQ05W30116,0.0,0,0.0,0.0,0.0,0.0,0.0,36117.09
68,0,ALQ10W30050,0.0,0,0.0,0.0,0.0,0.0,0.0,12611.8
69,0,ALQ10W30051,0.0,0,0.0,0.0,0.0,0.0,0.0,19450.06
70,0,ALQ10W30116,0.0,0,0.0,0.0,0.0,0.0,0.0,25177.42
71,0,ALQ10W40030,0.0,0,0.0,0.0,0.0,0.0,0.0,14800.35
72,0,ALQ10W4T030,0.0,0,0.0,0.0,0.0,0.0,0.0,24954.33
73,0,ALQ110W3030,0.0,0,0.0,0.0,0.0,0.0,0.0,22885.48
