"id","active","ano_id/id","marca_id/id","modelo_id/id","name","motor_productos/id","tipo_id/id"
"__export__.catalogo_motor_vehiculo_1522","True","__export__.catalogo_ano_vehiculo_1397","__export__.catalogo_marca_vehiculo_654","__export__.catalogo_modelo_vehiculo_1083","","","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_797","True","__export__.catalogo_ano_vehiculo_832","__export__.catalogo_marca_vehiculo_659","__export__.catalogo_modelo_vehiculo_895","","","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4187","True","__export__.catalogo_ano_vehiculo_3413","__export__.catalogo_marca_vehiculo_660","__export__.catalogo_modelo_vehiculo_1601","","__export__.product_template_34326,__export__.product_template_34536,__export__.product_template_10429,__export__.product_template_9514,__export__.product_template_9386,__export__.product_template_9494,__export__.product_template_10722,__export__.product_template_10998,__export__.product_template_34481","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_3274","True","__export__.catalogo_ano_vehiculo_3097","__export__.catalogo_marca_vehiculo_686","__export__.catalogo_modelo_vehiculo_1385","","__export__.product_template_34324,__export__.product_template_8554,__export__.product_template_9363","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4538","True","__export__.catalogo_ano_vehiculo_4051","__export__.catalogo_marca_vehiculo_600","__export__.catalogo_modelo_vehiculo_1413","","__export__.product_template_24620,__export__.product_template_16807,__export__.product_template_9326","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_2321","True","__export__.catalogo_ano_vehiculo_2408","__export__.catalogo_marca_vehiculo_706","__export__.catalogo_modelo_vehiculo_1229",".","__export__.product_template_8728,__export__.product_template_10136","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2511","True","__export__.catalogo_ano_vehiculo_2597","__export__.catalogo_marca_vehiculo_765","__export__.catalogo_modelo_vehiculo_1283",".","","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2320","True","__export__.catalogo_ano_vehiculo_2405","__export__.catalogo_marca_vehiculo_706","__export__.catalogo_modelo_vehiculo_1229",".","__export__.product_template_17124,__export__.product_template_8730,__export__.product_template_9766,__export__.product_template_10135","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2468","True","__export__.catalogo_ano_vehiculo_2557","__export__.catalogo_marca_vehiculo_758","__export__.catalogo_modelo_vehiculo_1263",".","__export__.product_template_17124,__export__.product_template_9766,__export__.product_template_8337,__export__.product_template_7985","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2476","True","__export__.catalogo_ano_vehiculo_2562","__export__.catalogo_marca_vehiculo_720","__export__.catalogo_modelo_vehiculo_1267",".","__export__.product_template_17124,__export__.product_template_8459,__export__.product_template_9766,__export__.product_template_9344","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2515","True","__export__.catalogo_ano_vehiculo_2601","__export__.catalogo_marca_vehiculo_766","__export__.catalogo_modelo_vehiculo_1284",".","__export__.product_template_9725,__export__.product_template_9321","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2480","True","__export__.catalogo_ano_vehiculo_2566","__export__.catalogo_marca_vehiculo_721","__export__.catalogo_modelo_vehiculo_1269",".","__export__.product_template_27779,__export__.product_template_8472,__export__.product_template_8793,__export__.product_template_9641,__export__.product_template_8050,__export__.product_template_27490,__export__.product_template_10161,__export__.product_template_8314,__export__.product_template_10155","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2568","True","__export__.catalogo_ano_vehiculo_2648","__export__.catalogo_marca_vehiculo_772","__export__.catalogo_modelo_vehiculo_1299",".","__export__.product_template_8746,__export__.product_template_10478,__export__.product_template_9363,__export__.product_template_8725,__export__.product_template_34324,__export__.product_template_10134","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2567","True","__export__.catalogo_ano_vehiculo_2647","__export__.catalogo_marca_vehiculo_732","__export__.catalogo_modelo_vehiculo_1298",".","__export__.product_template_8737,__export__.product_template_9766,__export__.product_template_9344,__export__.product_template_17124,__export__.product_template_10160","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2519","True","__export__.catalogo_ano_vehiculo_2603","__export__.catalogo_marca_vehiculo_727","__export__.catalogo_modelo_vehiculo_1285",".","__export__.product_template_9869","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2556","True","__export__.catalogo_ano_vehiculo_2640","__export__.catalogo_marca_vehiculo_770","__export__.catalogo_modelo_vehiculo_1296",".","","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_1414","True","__export__.catalogo_ano_vehiculo_1612","__export__.catalogo_marca_vehiculo_681","__export__.catalogo_modelo_vehiculo_1088",".","__export__.product_template_8736,__export__.product_template_8869,__export__.product_template_10535,__export__.product_template_9783,__export__.product_template_9864,__export__.product_template_24242,__export__.product_template_8044,__export__.product_template_10188","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2594","True","__export__.catalogo_ano_vehiculo_2696","__export__.catalogo_marca_vehiculo_695","__export__.catalogo_modelo_vehiculo_1301",".","__export__.product_template_33431,__export__.product_template_8024,__export__.product_template_9813","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2514","True","__export__.catalogo_ano_vehiculo_2599","__export__.catalogo_marca_vehiculo_766","__export__.catalogo_modelo_vehiculo_1284",".","__export__.product_template_9725","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2494","True","__export__.catalogo_ano_vehiculo_2582","__export__.catalogo_marca_vehiculo_761","__export__.catalogo_modelo_vehiculo_1277",".","","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2513","True","__export__.catalogo_ano_vehiculo_2598","__export__.catalogo_marca_vehiculo_766","__export__.catalogo_modelo_vehiculo_1284",".","__export__.product_template_9725","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2397","True","__export__.catalogo_ano_vehiculo_2301","__export__.catalogo_marca_vehiculo_713","__export__.catalogo_modelo_vehiculo_1214",".","__export__.product_template_8497,__export__.product_template_9848,__export__.product_template_10187","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_2967","True","__export__.catalogo_ano_vehiculo_2850","__export__.catalogo_marca_vehiculo_698","__export__.catalogo_modelo_vehiculo_1311",".","__export__.product_template_8746,__export__.product_template_9767,__export__.product_template_9924,__export__.product_template_34468","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_4497","True","__export__.catalogo_ano_vehiculo_4037","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1877","0.8 LTS.","__export__.product_template_24620,__export__.product_template_9326,__export__.product_template_14519","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_3100","True","__export__.catalogo_ano_vehiculo_2925","__export__.catalogo_marca_vehiculo_651","__export__.catalogo_modelo_vehiculo_1345","0M14A","__export__.product_template_10097,__export__.product_template_24025,__export__.product_template_11183,__export__.product_template_9254","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4238","True","__export__.catalogo_ano_vehiculo_3838","__export__.catalogo_marca_vehiculo_871","__export__.catalogo_modelo_vehiculo_1744","1000 C.C. GASOLINA -","__export__.product_template_33440,__export__.product_template_34521,__export__.product_template_9230,__export__.product_template_16712,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_10914,__export__.product_template_16753,__export__.product_template_11938,__export__.product_template_10954","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4233","True","__export__.catalogo_ano_vehiculo_3835","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1741","1010 QUANCHAI QC480ZLQ","__export__.product_template_9003,__export__.product_template_9330,__export__.product_template_8394","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4215","True","__export__.catalogo_ano_vehiculo_3820","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1734","1015 95HP","__export__.product_template_9004,__export__.product_template_9334,__export__.product_template_27433,__export__.product_template_34284,__export__.product_template_9235","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4266","True","__export__.catalogo_ano_vehiculo_3834","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1035 3.5 TON. DOBLE CABINA","__export__.product_template_9008","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4297","True","__export__.catalogo_ano_vehiculo_3887","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1043 3.5 TON.","__export__.product_template_9354,__export__.product_template_9719,__export__.product_template_9549,__export__.product_template_9019,__export__.product_template_11172","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4277","True","__export__.catalogo_ano_vehiculo_3834","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1043 3.5 TON. CABINA SENCILLA","__export__.product_template_9719,__export__.product_template_9549,__export__.product_template_9490,__export__.product_template_8435,__export__.product_template_11172","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4231","True","__export__.catalogo_ano_vehiculo_3834","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1043 3.5 TON. DOBLE CABINA","__export__.product_template_9005","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4232","True","__export__.catalogo_ano_vehiculo_3834","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1069 4.5 TON. CABINA SENCILLA","__export__.product_template_9344,__export__.product_template_9805,__export__.product_template_9549,__export__.product_template_8984,__export__.product_template_27491,__export__.product_template_11172","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4365","True","__export__.catalogo_ano_vehiculo_3950","__export__.catalogo_marca_vehiculo_687","__export__.catalogo_modelo_vehiculo_1818","10.8LTS 440CV DXi11","__export__.product_template_9482,__export__.product_template_9704,__export__.product_template_16906,__export__.product_template_9023,__export__.product_template_10712","__export__.catalogo_tipo_vehiculo_10"
